Date,Year,Month,Day,Route,Route_id,Start_time,end_time,time,distance,time_sum,distance_sum
2025-03-17,2025,3,17,102,2,2025-05-16 09:00:00,2025-05-16 19:25:00,10.42,115.0,47.77,361.73
2025-03-18,2025,3,18,202,2,2025-05-16 09:34:00,2025-05-16 19:02:00,9.47,53.19,47.77,361.73
2025-03-19,2025,3,19,302,2,2025-05-16 08:22:00,2025-05-16 17:36:00,9.23,49.32,47.77,361.73
2025-03-20,2025,3,20,402,2,2025-05-16 08:32:00,2025-05-16 18:01:00,9.48,43.14,47.77,361.73
2025-03-21,2025,3,21,502,2,2025-05-16 07:30:00,2025-05-16 16:40:00,9.17,101.08,47.77,361.73
2025-03-17,2025,3,17,141,41,2025-05-16 06:34:00,2025-05-16 14:14:00,7.67,58.9,39.15,299.76
2025-03-18,2025,3,18,241,41,2025-05-16 06:35:00,2025-05-16 14:17:00,7.7,69.37,39.15,299.76
2025-03-19,2025,3,19,341,41,2025-05-16 06:34:00,2025-05-16 14:40:00,8.1,62.44,39.15,299.76
2025-03-20,2025,3,20,441,41,2025-05-16 06:35:00,2025-05-16 14:20:00,7.75,53.55,39.15,299.76
2025-03-21,2025,3,21,541,41,2025-05-16 06:34:00,2025-05-16 14:30:00,7.93,55.5,39.15,299.76
2025-03-17,2025,3,17,142,42,2025-05-16 07:59:00,2025-05-16 17:26:00,9.45,52.47,43.76,365.86
2025-03-18,2025,3,18,242,42,2025-05-16 09:32:00,2025-05-16 18:00:00,8.47,85.0,43.76,365.86
2025-03-19,2025,3,19,342,42,2025-05-16 07:55:00,2025-05-16 15:26:00,7.52,34.85,43.76,365.86
2025-03-20,2025,3,20,442,42,2025-05-16 08:39:00,2025-05-16 18:58:00,10.32,108.54,43.76,365.86
2025-03-21,2025,3,21,542,42,2025-05-16 08:00:00,2025-05-16 16:00:00,8.0,85.0,43.76,365.86
2025-03-17,2025,3,17,143,43,2025-05-16 13:30:00,2025-05-16 17:15:00,3.75,31.0,31.11,274.0
2025-03-18,2025,3,17,243,43,2025-05-16 08:00:00,2025-05-16 20:21:00,12.35,74.0,31.11,274.0
2025-03-19,2025,3,19,343,43,2025-05-16 11:46:00,2025-05-16 17:27:00,5.68,60.0,31.11,274.0
2025-03-20,2025,3,20,443,43,2025-05-16 11:46:00,2025-05-16 16:18:00,4.53,56.0,31.11,274.0
2025-03-21,2025,3,21,543,43,2025-05-16 10:56:00,2025-05-16 15:44:00,4.8,53.0,31.11,274.0
